,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.055797175
11,0.13812314
12,0.18299735
13,0.1739011
14,0.14631645
15,0.106843375
16,0.07984031
17,0.086226866
18,0.123014554
19,0.14653045
20,0.14562324
21,0.14880465
22,0.14847109
23,0.14503422
24,0.14507991
25,0.14994283
26,0.13996641
27,0.13430063
28,0.1193037
29,0.124154985
30,0.13286687
31,0.12761687
32,0.10806735
33,0.0877002
34,0.08173427
35,0.08535909
36,0.07617347
37,0.060857892
38,0.04505688
39,0.034433052
40,0.028010398
41,0.030210912
42,0.03200558
43,0.04684715
44,0.059509635
45,0.06839095
46,0.07258798
47,0.06823884
48,0.06890045
49,0.07209425
50,0.06079738
51,0.051475063
52,0.036891595
53,0.03457944
54,0.030494675
55,0.025153667
56,0.021157265
57,0.027937576
58,0.04544179
59,0.074218765
60,0.18233088
61,0.86297137
62,1.2359161
63,1.8741306
64,2.4867911
65,2.013936
66,1.8395855
67,1.8029133
68,1.5812691
69,1.2578195
70,0.9540067
71,0.642249
72,0.34776968
73,0.12667117
74,0.047358453
75,0.030019078
76,0.018388681
77,0.010600761
78,0.005284697
79,0.0051085204
80,0.0060442984
81,0.00953
82,0.009437844
83,0.015505344
84,0.0100590885
85,0.0058277994
86,0.012229912
87,0.021279186
88,0.08224183
89,0.17280047
90,0.20715183
91,0.19923925
92,0.17790872
93,0.17392752
94,0.14405504
95,0.124413505
96,0.14094643
97,0.11725954
98,0.12533122
99,0.11378022
100,0.089600176
101,0.088743895
102,0.09850037
103,0.14897618
104,0.17009494
105,0.24498059
106,0.5367478
107,3.4868853
108,5.369759
109,4.8130183
110,3.870697
111,2.9840555
112,2.313271
113,1.7002497
114,1.1704892
115,0.70580167
116,0.2917992
117,0.08380264
118,0.03094883
119,0.01321424
120,0.004558714
121,0.0017241836
122,0.0
123,0.0
124,0.0
125,0.0011835396
126,0.0029928386
127,0.009810969
128,0.034573562
129,0.036256596
130,0.03925251
131,0.03763988
132,0.028826632
133,0.024502862
134,0.018591404
135,0.028199099
136,0.022829503
137,0.013787184
138,0.017006785
139,0.019954193
140,0.022399377
141,0.045383982
142,0.057714745
143,0.054676726
144,0.050326094
145,0.044024378
146,0.04484298
147,0.050653398
148,0.05691866
149,0.08352218
150,0.1361013
151,0.18610449
152,1.9774594
153,4.51781
154,3.9927466
155,3.361201
156,2.7104337
157,2.1013947
158,1.5442672
159,1.063416
160,0.62521875
161,0.22410622
162,0.06453663
163,0.030263353
164,0.011624962
165,0.0017509013
166,0.0
167,0.0
168,0.003298618
169,0.005724132
170,0.0063685104
171,0.009598762
172,0.017999649
173,0.028767746
174,0.0226161
175,0.014331348
176,0.017929628
177,0.021019295
178,0.041486897
179,0.049226124
180,0.05623896
181,0.062389936
182,0.0617458
183,0.057654493
184,0.06525484
185,0.070044234
186,0.062267996
187,0.05951672
188,0.06260413
189,0.07182607
190,0.08052774
191,0.07551986
192,0.07639335
193,0.092739835
194,0.10387181
195,0.12884313
196,0.2326694
197,1.6622462
198,2.6520002
199,2.349196
200,1.9798034
201,1.6849718
202,1.3490418
203,0.98113376
204,0.63928235
205,0.3202644
206,0.071785234
207,0.01653064
208,0.002012834
209,0.0
210,0.0
211,0.0
212,0.0021693055
213,0.00648637
214,0.0063822493
215,0.010107931
216,0.017516654
217,0.019710697
218,0.023867443
219,0.03547419
220,0.048444983
221,0.059870407
222,0.045920897
223,0.038786978
224,0.035022106
225,0.03669651
226,0.042069815
227,0.047732078
228,0.048665024
229,0.04619357
230,0.041155547
231,0.0418006
232,0.036173962
233,0.044420235
234,0.061304323
235,0.08103861
236,0.0792941
237,0.07876905
238,0.056089886
239,0.050770923
240,0.052148953
241,0.07399019
242,0.14778678
243,0.2130082
244,0.32625824
245,2.0460176
246,5.273629
247,5.5077667
248,4.68243
249,3.6430998
250,2.7983432
251,2.07424
252,1.4743061
253,0.96468425
254,0.5030724
255,0.1444244
256,0.037064917
257,0.007212151
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,5.7816505e-05
266,0.0034905374
267,0.0044192076
268,0.012946397
269,0.034617182
270,0.036007185
271,0.028171722
272,0.015870348
273,0.008485369
274,0.006213233
275,0.0017900914
276,0.0020017773
277,0.0028047264
278,0.003012076
279,0.002729997
280,0.0027108341
281,0.0037834048
282,0.0050853044
283,0.0067893565
284,0.006261006
285,0.010429099
286,0.013072655
287,0.018051773
288,0.021821022
289,0.03175588
290,0.09277478
291,0.5726477
292,1.5133042
293,1.768398
294,1.5351146
295,1.245491
296,0.9920283
297,0.77400076
298,0.54794586
299,0.3207388
300,0.13765165
301,0.04455258
302,0.011635895
303,0.0016070753
304,0.0022070408
305,0.002370894
306,0.0021240595
307,0.0069871005
308,0.007582967
309,0.0031778524
310,0.0
311,0.0
312,0.001677826
313,0.0024692118
314,0.005188167
315,0.006925896
316,0.0070102066
317,0.009745643
318,0.015220525
319,0.020514397
320,0.03570742
321,0.0289797
322,0.017405659
323,0.011898927
324,0.009109788
325,0.008215815
326,0.007892147
327,0.010477529
328,0.0105465725
329,0.008561097
330,0.006206142
331,0.00537014
332,0.01235538
333,0.013364986
334,0.08566524
335,0.64569503
336,2.0775938
337,2.8693707
338,3.2166436
339,2.7919726
340,2.4264731
341,1.9306841
342,1.427361
343,1.019278
344,0.65712756
345,0.29017615
346,0.056976944
347,0.019506732
348,0.0075492486
349,0.0016055107
350,0.0003039539
351,0.0
352,0.0
353,0.0
354,0.00010762364
355,0.0028541684
356,0.004030779
357,0.0049336106
358,0.00065749884
359,0.0020873025
360,0.0040377863
361,0.0015417598
362,0.007817969
363,0.009521559
364,0.010076046
365,0.00793609
366,0.006445721
367,0.0043881238
368,0.014786161
369,0.016991228
370,0.012845416
371,0.011005279
372,0.008993529
373,0.008326322
374,0.011957293
375,0.0024650972
376,0.004834257
377,0.39906433
378,1.416062
379,1.9683455
380,1.9023159
381,1.5378559
382,1.2742546
383,1.0507474
384,0.7947179
385,0.5300904
386,0.26556173
387,0.09599964
388,0.044217274
389,0.023255242
390,0.01041389
391,0.0032390878
392,0.0023901649
393,0.004077848
394,0.0031109527
395,0.0010791235
396,0.0025728717
397,0.007876746
398,0.017661784
399,0.022210076
400,0.017324314
401,0.010593191
402,0.007148236
403,0.015379659
404,0.00965931
405,0.0033951546
406,0.0025628284
407,0.0
408,0.0005311221
409,0.006594792
410,0.0048783123
411,0.0048841
412,0.011753218
413,0.038000703
414,0.040574983
415,0.05687522
416,0.036405817
417,0.034670476
418,0.021785568
419,0.01741305
420,0.012593814
421,0.00747554
422,0.0023383908
423,0.00088199973
424,0.00853885
425,0.011842065
426,0.098477505
427,1.1427785
428,2.2215662
429,2.3822553
430,2.2337444
431,2.0052068
